Name,List,Image,Animation,Video,Table,Github,Links,Project,Inline,Code,repository_ID,fullname_x,URL,created_date_x,language,description,number_of_stars,num_of_forks,num_of_watchers,open_issue_count,repo_id,repository,community,downloads,releases,assets,commits,open_issues,closed_issues,total_issues,open_prs,closed_prs,total_prs,readme_issues,readme_commits,fullname_y,created_date_y,days,download_score,community_score,assets_score,releases_score,commits_score,avg_assets_release,progress_score,Label
rails/rails,5,0,0,0,0,0,6,0,5,0.0,8514,rails/rails,https://github.com/rails/rails,2008-04-11 02:19:47,Ruby,,49511,19904,49511,602,0,rails/rails,5701.0,0.0,2.0,0.0,83217.0,355.0,15065.0,15420.0,246.0,28643.0,28889.0,0.0,50.0,rails/rails,2008-04-11 02:19:47,5110,0.0,1.115655577299413,0.0,0.0003913894324853,16.285127201565558,0.0,16.285518590998045,1
jekyll/jekyll,12,18,0,1,0,4,33,1,1,0.0,65252,jekyll/jekyll,https://github.com/jekyll/jekyll,2008-10-20 06:29:03,Ruby,,43755,9624,43755,167,1,jekyll/jekyll,1168.0,0.0,2.0,0.0,11464.0,88.0,4434.0,4522.0,93.0,4088.0,4181.0,2.0,72.0,jekyll/jekyll,2008-10-20 06:29:03,4918,0.0,0.2374949166327775,0.0,0.0004066693777958,2.331028873525824,0.0,2.3314355429036198,1
discourse/discourse,16,6,0,0,0,7,26,0,0,0.0,7569578,discourse/discourse,https://github.com/discourse/discourse,2013-01-12 00:25:55,Ruby,,34552,7454,34552,25,2,discourse/discourse,994.0,0.0,2.0,0.0,44508.0,0.0,0.0,0.0,37.0,15632.0,15669.0,0.0,137.0,discourse/discourse,2013-01-12 00:25:55,3373,0.0,0.2946931514971835,0.0,0.0005929439667951,13.195375037058998,0.0,13.195967981025793,1
fastlane/fastlane,4,32,0,0,0,33,64,0,3,0.0,27442967,fastlane/fastlane,https://github.com/fastlane/fastlane,2014-12-02 17:00:38,Ruby,,33329,5054,33329,222,3,fastlane/fastlane,1497.0,0.0,2.0,0.0,16282.0,123.0,11837.0,11960.0,65.0,6840.0,6905.0,0.0,476.0,fastlane/fastlane,2014-12-02 17:00:38,2684,0.0,0.5577496274217586,0.0,0.0007451564828614,6.066318926974665,0.0,6.0670640834575265,1
huginn/huginn,27,10,0,0,0,11,23,0,17,2.0,8681349,huginn/huginn,https://github.com/huginn/huginn,2013-03-10 06:00:31,Ruby,,32752,3115,32752,576,4,huginn/huginn,246.0,0.0,2.0,0.0,3428.0,521.0,1400.0,1921.0,83.0,1082.0,1165.0,2.0,98.0,huginn/huginn,2013-03-10 06:00:31,3316,0.0,0.0741857659831121,0.0,0.0006031363088057,1.0337756332931245,0.0,1.0343787696019302,1
Homebrew/brew,9,6,0,0,0,13,31,2,6,0.0,53238813,Homebrew/brew,https://github.com/Homebrew/brew,2016-03-06 05:08:38,Ruby,,30141,6925,30141,43,5,Homebrew/brew,1078.0,0.0,2.0,0.0,30778.0,17.0,3426.0,3443.0,11.0,8803.0,8814.0,1.0,214.0,Homebrew/brew,2016-03-06 05:08:38,2224,0.0,0.4847122302158273,0.0,0.0008992805755395,13.839028776978417,0.0,13.839928057553957,1
bayandin/awesome-awesomeness,3,1,0,0,0,0,2,4,0,0.0,21600440,bayandin/awesome-awesomeness,https://github.com/bayandin/awesome-awesomeness,2014-07-08 05:44:19,Ruby,,28286,3449,28286,15,6,bayandin/awesome-awesomeness,251.0,0.0,2.0,0.0,572.0,12.0,49.0,61.0,6.0,386.0,392.0,0.0,426.0,bayandin/awesome-awesomeness,2014-07-08 05:44:19,2831,0.0,0.0886612504415401,0.0,0.0007064641469445,0.2020487460261391,0.0,0.2027552101730836,1
freeCodeCamp/devdocs,17,16,0,0,0,22,35,0,10,3.0,13840241,freeCodeCamp/devdocs,https://github.com/freeCodeCamp/devdocs,2013-10-24 18:16:07,Ruby,,27130,1826,27130,126,7,freeCodeCamp/devdocs,184.0,0.0,2.0,0.0,4396.0,97.0,881.0,978.0,24.0,688.0,712.0,4.0,97.0,freeCodeCamp/devdocs,2013-10-24 18:16:07,3088,0.0,0.0595854922279792,0.0,0.0006476683937823,1.4235751295336787,0.0,1.424222797927461,1
mastodon/mastodon,18,8,1,0,0,0,11,0,3,0.0,52281283,mastodon/mastodon,https://github.com/mastodon/mastodon,2016-02-22 15:01:25,Ruby,,26030,4235,26030,2005,8,mastodon/mastodon,761.0,0.0,2.0,0.0,11297.0,2003.0,4474.0,6477.0,54.0,10895.0,10949.0,2.0,88.0,mastodon/mastodon,2016-02-22 15:01:25,2237,0.0,0.3401877514528386,0.0,0.0008940545373267,5.0500670540903,0.0,5.050961108627626,1
rapid7/metasploit-framework,0,1,0,0,0,2,4,0,1,0.0,2293158,rapid7/metasploit-framework,https://github.com/rapid7/metasploit-framework,2011-08-30 06:13:20,Ruby,,25748,11775,25748,494,9,rapid7/metasploit-framework,1328.0,0.0,2.0,0.0,63533.0,482.0,4525.0,5007.0,31.0,10946.0,10977.0,1.0,23.0,rapid7/metasploit-framework,2011-08-30 06:13:20,3874,0.0,0.3427981414558596,0.0,0.0005162622612287,16.399845121321633,0.0,16.40036138358286,1
hashicorp/vagrant,3,0,0,0,0,2,10,0,3,0.0,481872,hashicorp/vagrant,https://github.com/hashicorp/vagrant,2010-01-21 08:34:27,Ruby,,23045,4177,23045,579,10,hashicorp/vagrant,1235.0,0.0,2.0,0.0,14136.0,564.0,8505.0,9069.0,86.0,3468.0,3554.0,2.0,60.0,hashicorp/vagrant,2010-01-21 08:34:27,4460,0.0,0.2769058295964126,0.0,0.0004484304932735,3.1695067264574,0.0,3.1699551569506736,1
gitlabhq/gitlabhq,20,0,0,0,0,0,28,0,0,0.0,2500088,gitlabhq/gitlabhq,https://github.com/gitlabhq/gitlabhq,2011-10-02 16:25:27,Ruby,,22781,5693,22781,34,11,gitlabhq/gitlabhq,2909.0,0.0,2.0,0.0,107784.0,0.0,0.0,0.0,14.0,3555.0,3569.0,0.0,264.0,gitlabhq/gitlabhq,2011-10-02 16:25:27,3841,0.0,0.7573548555063786,0.0,0.0005206977349648,28.061442332725854,0.0,28.06196303046082,1
heartcombo/devise,36,2,0,0,0,7,20,0,49,51.5,308770,heartcombo/devise,https://github.com/heartcombo/devise,2009-09-16 12:15:12,Ruby,,22061,5328,22061,154,12,heartcombo/devise,694.0,0.0,2.0,0.0,3769.0,135.0,3951.0,4086.0,57.0,1282.0,1339.0,1.0,176.0,heartcombo/devise,2009-09-16 12:15:12,4587,0.0,0.1512971441028995,0.0,0.000436014824504,0.8216699367778505,0.0,0.8221059516023544,1
kilimchoi/engineering-blogs,657,1,0,0,0,1,3,0,0,0.0,37382858,kilimchoi/engineering-blogs,https://github.com/kilimchoi/engineering-blogs,2015-06-13 18:25:17,Ruby,,20553,537,20553,45,13,kilimchoi/engineering-blogs,383.0,0.0,2.0,0.0,1705.0,4.0,74.0,78.0,50.0,893.0,943.0,1.0,1182.0,kilimchoi/engineering-blogs,2015-06-13 18:25:17,2491,0.0,0.1537535126455239,0.0,0.0008028904054596,0.6844640706543557,0.0,0.6852669610598152,1
Homebrew/homebrew-cask,16,2,1,0,0,7,9,0,7,1.0,3623050,Homebrew/homebrew-cask,https://github.com/Homebrew/homebrew-cask,2012-03-05 02:05:17,Ruby,,18730,9487,18730,37,14,Homebrew/homebrew-cask,9214.0,0.0,2.0,0.0,146299.0,23.0,5985.0,6008.0,33.0,114014.0,114047.0,0.0,157.0,Homebrew/homebrew-cask,2012-03-05 02:05:17,3686,0.0,2.4997287032013022,0.0,0.0005425935973955,39.69045035268584,0.0,39.69099294628324,1
ruby/ruby,23,8,0,0,0,5,8,0,8,0.0,538746,ruby/ruby,https://github.com/ruby/ruby,2010-02-27 15:55:23,Ruby,,18680,5357,18680,331,15,ruby/ruby,585.0,0.0,2.0,0.0,71315.0,0.0,0.0,0.0,342.0,5217.0,5559.0,0.0,104.0,ruby/ruby,2010-02-27 15:55:23,4423,0.0,0.1322631697942572,0.0,0.0004521817770743,16.123671716029843,0.0,16.124123897806918,1
